x,y,frame
31216.1739914869,34796.5349618774,14
31453.4493821119,38471.8010751586,14
31611.7892258619,32347.9021493774,14
31717.5533860182,43316.1174814086,14
31740.2194016432,46385.9709970336,14
31938.6617844557,39258.3831064086,14
32890.3243821119,39954.1375009399,14
33684.9191086744,30871.8743173461,14
33805.3292649244,20392.6335946899,14
33937.5973313307,43294.7502939086,14
34563.3907883619,42294.2180673461,14
35773.7789719557,26193.9958993774,14
35674.3356125807,55484.5305673461,14
36312.9879563307,48466.7180673461,14
36683.3444016432,42181.3030282836,14
38396.3717453932,43983.4661142211,14
38584.1158860182,52092.1819345336,14
38937.8292649244,34268.6516610961,14
39099.7555344557,39992.1233407836,14
39218.1100266432,44640.2825204711,14
39530.3243821119,28602.4138681274,14
39805.8883469557,54119.4280282836,14
40429.1964524244,41128.6711923461,14
40598.0245774244,28912.0647470336,14
41208.9816086744,42429.1643564086,14
42184.1622727369,35427.3821298461,14
42758.1808274244,47700.6975595336,14
43194.0548508619,33799.9553720336,14
43433.1271164869,30345.1116220336,14
43694.6163742994,31910.8953134399,14
44239.6652024244,47899.5452157836,14
44450.2560227369,50171.0002939086,14
44582.8634446119,34228.3440439086,14
44927.8439133619,45969.3157235961,14
45076.3546555494,40525.1897470336,14
45670.1778977369,43421.4446298461,14
46472.4874680494,49039.2571298461,14
46777.1505539869,32166.8572275024,14
47123.0636399244,49958.5540048461,14
47761.9552414869,45980.7854501586,14
47782.0040696119,47209.9309579711,14
48351.9112961744,28076.6326181274,14
48680.8419602369,40152.5090829711,14
48771.0616867994,50757.6653329711,14
49227.2335617994,42980.6438485961,14
50224.3624680494,44469.3401376586,14
51099.3624680494,33896.3445321899,14
51498.4640305494,47671.6301767211,14
52545.0900071119,48652.3137704711,14
29416.4113353054,44430.1240743069,15
30569.2336009304,15969.5698750881,15
31228.7843821804,34809.8530782131,15
31665.7326243679,32322.6338399319,15
31698.0275462429,43440.4561055569,15
32014.0260813992,53124.1768086819,15
32682.6906321804,45314.9092305569,15
32747.0461009304,47796.9160664944,15
33042.1559642117,55126.4473164944,15
33906.8825267117,20361.1372579006,15
34401.6628001492,42450.3486836819,15
34903.6623118679,27418.5396016506,15
34882.8078196804,50255.6563008694,15
35771.1452220242,55504.2012227444,15
35805.2052806179,26250.4194844631,15
35919.2067454617,45530.2559102444,15
35966.4650462429,44449.1523946194,15
36610.7497142117,36941.4717305569,15
36766.9264720242,42218.5859883694,15
38150.2077220242,36373.3638204006,15
38644.8097728054,26759.2622579006,15
38979.1554759304,34250.5098164944,15
39203.8210032742,50815.9883321194,15
39341.1452220242,44613.0928243069,15
39705.5373118679,49088.1172383694,15
40531.1061595242,41016.7158711819,15
40893.9064524929,44914.1865743069,15
41236.7116282742,49377.7314961819,15
