driftx,drifty
-66.3829752085639,-52.7656998623494
-66.4575061612906,-52.8179633190686
-66.5330163476491,-52.8709134453212
-66.6080905576796,-52.9235578512104
-66.6828562612227,-52.9759859226124
-66.7573970873359,-53.0282563028618
-66.8324381404714,-53.0808774580897
-66.9072988200982,-53.1333721297194
-66.9823593989607,-53.1860069770034
-67.0575506896715,-53.2387334835615
-67.13233400321,-53.291173903648
-67.2074405596336,-53.3438409918492
-67.2818589262813,-53.3960254996558
-67.3571972862418,-53.4488551358143
-67.432478174251,-53.5016444708262
-67.5078286917397,-53.5544826322272
-67.5819991921769,-53.6064933284228
-67.6571225480939,-53.6591721969591
-67.7316269016226,-53.711417001481
-67.8073529762085,-53.7645185153734
-67.8822433496768,-53.8170340092622
-67.9573244858142,-53.8696832719563
-68.0321035994793,-53.922120746959
-68.1069664158838,-53.9746169169648
-68.1824778548361,-54.0275679215757
-68.256789456282,-54.0796775622527
-68.3320733652527,-54.1324690156582
-68.4072698137027,-54.1851991389858
-68.4814816497357,-54.2372388210061
-68.5572201765776,-54.2903490668135
-68.6313940663863,-54.3423621397435
-68.7069881028482,-54.3953710643354
-68.7815079295945,-54.4476267191659
-68.8569791381809,-54.5005495129744
-68.9314389877884,-54.5527631099419
-69.0062621632828,-54.6052314824902
-69.0813791088669,-54.6579058558986
-69.1564087412941,-54.7105190025653
-69.2312579265306,-54.7630056139658
-69.3066074124714,-54.8158430520128
-69.3980789261291,-54.8733550242325
-69.5067570574247,-54.936225528444
-69.6155960014999,-54.9991890631523
-69.7240481400852,-55.0619288301541
-69.833068626295,-55.1249973873301
-69.9412752181909,-55.1875951051083
-70.0512843022991,-55.2512355680357
-70.1587910113335,-55.3134284022567
-70.2687375868198,-55.3770327038282
-70.3773039505622,-55.4398385502992
-70.486655251633,-55.503098484497
-70.5946056116049,-55.5655479716233
-70.7037816748294,-55.6287065303962
-70.8110992552126,-55.6907899533353
-70.9205555921388,-55.7541106509739
-71.0292189778107,-55.8169726248143
-71.1384877888709,-55.8801848383852
-71.2460031529452,-55.9423826795632
-71.3548095070551,-56.005327360915
-71.4651517567759,-56.0691605607785
-71.5733318492902,-56.1317429486144
-71.6816223202771,-56.1943891906052
-71.7902329208904,-56.2572206281895
-71.8993237159434,-56.3203298591641
-72.0080777124041,-56.3832442515169
-72.1159737913847,-56.4456623369872
-72.2243902412866,-56.5083814580183
-72.3336359722403,-56.571580319704
-72.4419948287282,-56.6342661228363
-72.5511579628189,-56.6974172020808
-72.6599910300151,-56.7603773370035
-72.7691897459369,-56.8235490004045
-72.8776724442929,-56.8863064462914
-72.9863948124594,-56.9492025416163
-73.0948456688166,-57.0119415668467
-73.203865727617,-57.0750098767656
-73.3126607553783,-57.1379480058033
-73.4214428540058,-57.2008786553127
-73.5298789647393,-57.263609150172
-73.6390486168231,-57.3267640000879
-73.7465633397834,-57.3889614703801
-73.8563559410401,-57.452476697569
